"country","gdp_per_capita","life_expectancy","infant_mortality","literacy_rate","internet_users","electricity_access","urban_population","health_expenditure","education_expenditure","unemployment_rate","gini_coefficient","region","income_group","year"
"Afghanistan",356.496214115892,60.417,53.2,37.2700004577637,16.51429939,97.7,25.3478620272481,21.50844383,4.34319019317627,12.006,NA,"Middle East, North Africa, Afghanistan & Pakistan","Low income",2021
"Albania",7242.45513146613,76.844,8.3,98.8099975585938,79.32371752,100,57.5077187031778,7.35750389,3.00555992126465,11.474,29.4,"Europe & Central Asia","Upper middle income",2021
"Algeria",4160.55926736925,75.208,20.2,NA,72.21240234,99.8,73.6199218261573,5.02188873,5.51403281769924,13.656,NA,"Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",2021
"American Samoa",15236.1604875571,72.708,NA,NA,NA,NA,82.2127091544092,NA,NA,NA,NA,"East Asia & Pacific","High income",2021
"Andorra",42425.7066454357,82.331,2.7,NA,93.89749908,100,88.6627318165299,8.64671707,2.381921736037,NA,NA,"Europe & Central Asia","High income",2021
"Angola",2303.90812662776,62.958,34.4,NA,34.55649948,48.2,68.2524163556969,2.73987103,2.29719689513241,15.799,51.3,"Sub-Saharan Africa","Lower middle income",2021
"Antigua and Barbuda",17348.6006987182,77.197,7.6,NA,71.64530182,100,24.574983819566,4.81315422,2.50897393198865,NA,NA,"Latin America & Caribbean","High income",2021
"Argentina",10738.0179223384,73.948,8.5,99.1399993896484,87.15070683,100,92.0292776175651,11.00910187,4.65393018722534,8.736,42.4,"Latin America & Caribbean","Upper middle income",2021
"Armenia",4685.17997128509,72.2780487804878,9.7,99.7900009155273,78.61225758,100,65.3572875314441,12.32268524,2.76784992218018,15.469,27.9,"Europe & Central Asia","Upper middle income",2021
"Aruba",26749.3296093118,73.655,NA,NA,97.17,100,61.9275339886843,NA,3.61855755636695,NA,NA,"Latin America & Caribbean","High income",2021
"Australia",60758.9044397144,83.3,3.2,NA,96.97219849,100,87.2353407632761,10.51612186,5.34109020233154,5.022,33.8,"East Asia & Pacific","High income",2021
"Austria",53648.6437976214,81.190243902439,2.8,NA,92.52915104,100,68.773601700253,12.185215,5.48071002960205,6.459,30.7,"Europe & Central Asia","High income",2021
"Azerbaijan",5408.04535175023,70.999,14.7,99.8000030517578,85.99998954,100,58.3659969744818,4.68526697,3.7020800113678,6.04,NA,"Europe & Central Asia","Upper middle income",2021
"Bahamas, The",30367.8605757708,70.752,11.7,NA,92.34980011,100,81.4784235345083,6.78537178,3.04890655208507,11.078,NA,"Latin America & Caribbean","High income",2021
"Bahrain",27147.8083882286,78.083,6.8,NA,100,100,100,4.32771444,1.85115940115918,1.548,NA,"Middle East, North Africa, Afghanistan & Pakistan","High income",2021
"Bangladesh",2482.84917843357,71.103,24.5,76.3600006103516,38.91744466,99,31.3992156886061,2.26678729,2.17090882504654,5.457,32.4,"South Asia","Lower middle income",2021
"Barbados",21079.6145271791,76.58,9.9,NA,69.4756012,100,59.3220365433819,7.4427762,4.49793004989624,11.015,34.1,"Latin America & Caribbean","High income",2021
"Belarus",7489.71894713888,72.0714634146342,2.1,99.870002746582,86.88841196,100,78.131086803694,6.56549978,4.60641002655029,3.9,24.4,"Europe & Central Asia","Upper middle income",2021
"Belgium",51658.238294958,81.790243902439,3.2,NA,92.78867618,100,87.4305564090635,11.28825092,6.38081979751587,6.248,26.6,"Europe & Central Asia","High income",2021
"Belize",6142.98930557031,70.917,11,NA,70.65370178,97.7,42.3910809205294,5.04598379,5.96298980712891,10.302,39.9,"Latin America & Caribbean","Upper middle income",2021
"Benin",1318.65158075198,59.61,49.1,43.8300018310547,28.20470047,42,50.1961807561354,2.91589761,3.09692638090381,1.833,34.4,"Sub-Saharan Africa","Lower middle income",2021
"Bermuda",112765.08167306,81.745,NA,NA,98.37,100,100,NA,1.94565325816336,NA,NA,"North America","High income",2021
"Bhutan",3570.61257980872,72.448,15.9,66.5599975585938,85.63688389,100,40.3075199874379,4.78581429,6.5983860642268,4.803,37.4,"South Asia","Lower middle income",2021
"Bolivia",4010.76053686204,61.427,16.4,93.8499984741211,65.9773785,98.6,70.3450412826165,8.16016769,7.96216011047363,5.089,40.9,"Latin America & Caribbean","Lower middle income",2021
"Bosnia and Herzegovina",7295.34378682258,74.567,5.7,NA,75.67620138,100,50.4899479477034,9.55514336,4.13622999191284,14.897,30.3,"Europe & Central Asia","Upper middle income",2021
"Botswana",7807.88794570471,63.303,35.4,NA,54.70069885,73.7,66.5182767068255,6.30315065,8.05833660991541,23.106,NA,"Sub-Saharan Africa","Upper middle income",2021
"Brazil",7972.53696080695,73.038,12.7,94.7726170886975,80.68989314,99.5,87.1360781715439,9.63646507,5.4969801902771,13.158,52.9,"Latin America & Caribbean","Upper middle income",2021
"Brunei Darussalam",31006.9636289785,74.869,8.8,NA,97.62879944,100,74.7667316936175,2.14748693,4.42539978027344,4.905,NA,"East Asia & Pacific","High income",2021
"Bulgaria",12966.1457543396,71.2121951219512,5.2,NA,75.27144583,99.8,73.346765618041,8.58048916,4.7092399597168,5.166,39,"Europe & Central Asia","High income",2021
"Burkina Faso",895.535288442991,60.046,47.4,36.9700012207031,18.1522007,19,26.8114307743017,7.08691931,5.24913346712028,4.511,37.4,"Sub-Saharan Africa","Low income",2021
"Burundi",264.980379269655,62.101,33.5,71.3374789737041,6.777999878,10.2,21.1108861865354,8.94190311,4.87114173892375,1.118,37.5,"Sub-Saharan Africa","Low income",2021
"Cabo Verde",3971.44409203423,74.424,12,NA,70.28250122,95.5,74.1607930892827,6.60773611,6.15490303089284,13.932,NA,"Sub-Saharan Africa","Upper middle income",2021
"Cambodia",2167.40324198499,69.301,18.4,71.9300003051758,60.76269913,82.5,40.1091858128847,6.33888054,1.96232691812756,0.396,NA,"East Asia & Pacific","Lower middle income",2021
"Cameroon",1672.32657340872,61.146,44.1,72.5500030517578,38.89260101,65.4,54.5548664463635,4.34109783,2.8493076272306,3.976,42.2,"Sub-Saharan Africa","Lower middle income",2021
"Canada",52886.6616372703,81.4514634146342,4.6,NA,93.93710327,100,82.1779279079275,12.38106632,4.74858999252319,7.527,31.1,"North America","High income",2021
"Cayman Islands",86449.6749037302,79.3,NA,98.870002746582,81.0676932508161,100,100,NA,1.31253004074097,NA,NA,"Latin America & Caribbean","High income",2021
"Central African Republic",492.263142830507,40.279,96.3,42.439998626709,7.509200096,15.7,42.8547782897949,9.15097523,1.8725169173301,6.701,43,"Sub-Saharan Africa","Low income",2021
"Chad",946.358500208374,53.136,61.3,30.6299991607666,9.653699875,11.3,25.2312246423075,3.9722333,2.01648998260498,1.53,37.5,"Sub-Saharan Africa","Low income",2021
"Channel Islands",66915.3963925722,80.3,NA,NA,NA,100,32.8148141071941,NA,NA,6.643,NA,"Europe & Central Asia","High income",2021
"Chile",16206.8325493421,78.876,5.8,96.4000015258789,90.23280334,100,88.4660511664452,9.72450161,5.00225019454956,9.281,47,"Latin America & Caribbean","High income",2021
"China",12887.4357242941,78.117,5.1,96.7399978637695,73.05323517,100,64.721076965332,5.25590324,NA,4.55,35.7,"East Asia & Pacific","Upper middle income",2021
"Colombia",6222.62164397614,72.698,11.5,95.6606500324449,73.02837449,100,77.8339570326128,9.14150524,5.26166009902954,13.898,55.1,"Latin America & Caribbean","Upper middle income",2021
"Comoros",1554.97289190153,65.201,38,75.6201980162165,30.68120003,87.9,32.4124444313246,6.46315002,2.27485390045927,4.394,34.2,"Sub-Saharan Africa","Lower middle income",2021
"Congo, Dem. Rep.",595.743074403567,60.044,57.6,65.6828744335957,16.1595993,20.8,43.6290681792218,3.86727977,2.66048474102788,5.289,44.7,"Sub-Saharan Africa","Low income",2021
"Congo, Rep.",2516.16255145432,64.192,29.4,NA,30.02739906,49.7,63.6179125824196,3.46133351,3.31281536274069,21.998,NA,"Sub-Saharan Africa","Lower middle income",2021
